"","CHP212_WT_DMSO_1","CHP212_WT_DMSO_2","CHP212_WT_Nutlin_1","CHP212_WT_Nutlin_2","CHP212_KO_DMSO_1","CHP212_KO_DMSO_2","CHP212_KO_Nutlin_1","CHP212_KO_Nutlin_2"
"ENSG00000169896",0,2,22,41,0,0,26,56
"ENSG00000169900",0,0,0,0,0,0,0,0
"ENSG00000169902",5099,4644.999,6338.999,5850,9996.002,10261,10815,10389.999
"ENSG00000169903",573.999,545.999,361,356,14473,16447,10973,9674
"ENSG00000169905",8451.836,7072.61,8594.031,7836.058,8508.418,8982.466,8607.443,7722.229
"ENSG00000169906",0,0,0,0,0,0,1,0
"ENSG00000169908",5598,5227.001,4887,4071,43698.001,47198,30691,29242
"ENSG00000169914",2397.44,2120.506,2029.724,2104.091,2458.185,2553.013,2205.12,2146.072
"ENSG00000169918",14.144,9.58,25.141,19.199,152.942,202.501,244.245,152.868
"ENSG00000169919",9431.527,8897.53,8512.036,7660.74,7046.083,7444.464,6923.778,6282.581
"ENSG00000169925",6132.461,6011.797,5195.255,5016.31,8899.551,9936.568,8248.541,7176.454
"ENSG00000169926",3650.116,3162.154,3459.368,3526.001,4358.566,5518.609,4919.144,4380.336
"ENSG00000169933",43,34,18,24,341,418,367,264
"ENSG00000169946",215.474,204.472,199.686,171.36,236.456,233.319,311.465,206.291
"ENSG00000169951",980,1022,1288.999,1223.999,1479,1611,1933.999,1621
"ENSG00000169953",0,0,0,0,0,0,6,0
"ENSG00000169955",41.597,38,55.153,53.075,171.203,167.597,182.798,179.186
"ENSG00000169957",4033,3539,3813,3456,5856,6374,6129,5454
"ENSG00000169962",19,8,29,8,18,33,16,17
"ENSG00000169967",5135,4857,5030,5143,5908,5937,5774,5268
"ENSG00000169972",829.996,784.998,507.998,435.997,639.994,712.011,621.999,552.998
"ENSG00000169976",5094,4493,4612,4087,5302,5876,5066,4519
"ENSG00000169989",73,71,85,51,74,79,52,103
"ENSG00000169991",453,476,1104,1052,296,333,572,535
"ENSG00000169994",60.999,59.001,52,51,26,22,11,31
"ENSG00000170004",15283.875,13233.661,10656.003,11553.005,22938.714,25456.912,20135.406,18393.003
"ENSG00000170006",31.097,30.813,37.832,39.009,35.562,24.808,27.695,26.84
"ENSG00000170011",217,205,280,273,2997.999,3063,3459.001,2931.001
"ENSG00000170017",6002.999,5656.999,6731.001,6870.999,26499,28583,26635.002,24531.999
"ENSG00000170027",41257,40110,45795,42513,36175,38311,34303,33209
"ENSG00000170035",7649.002,6983.999,7788,6245,5807,6584.002,5367.001,4924
"ENSG00000170037",4086.002,3868.999,3162.001,2955.999,4962.001,5370.001,4320.002,4062.001
"ENSG00000170043",3640,3581,4317.999,3495,4204,4559.999,3957.999,3795
"ENSG00000170044",4,4,17,2,3,4,4,0
"ENSG00000170049",176.003,115.005,195,197.998,997.004,1057.836,939.236,910.695
"ENSG00000170054",0,0,0,0,0,0,0,0
"ENSG00000170074",72.207,105.435,113.919,96.896,126.76,133.241,127.852,114.645
"ENSG00000170075",27.144,16.224,26.918,59.904,60.253,61.068,50.472,48.257
"ENSG00000170085",1295.654,1209.161,697.548,566.903,1954.357,2238.707,1852.584,1545.067
"ENSG00000170088",3841.247,3325.457,4258.473,4114.603,4224.096,4335.911,4494.924,4213.265
"ENSG00000170091",93,105.999,100,69,524,504,521,531
"ENSG00000170092",28.249,43.323,78.856,97.74,86.197,60.293,73.824,63.201
"ENSG00000170099",2,0,7.573,8,4,2,5,0
"ENSG00000170100",763.104,577.086,969.05,1043.045,625.103,788.087,727.017,632.408
"ENSG00000170113",2865.592,2585.247,2689.202,2761.445,3570.293,3779.819,3779.738,3438.552
"ENSG00000170122",233.159,171.659,275.536,272.324,559.315,616.632,775.457,624.875
"ENSG00000170128",0,0,2,0,0,0,0,0
"ENSG00000170142",5350.542,5152.4,5319.345,4308.56,8369.093,9099.619,6898.743,6329.396
"ENSG00000170144",61832.43,62962.59,48714.191,42740.438,70444.622,72621.649,53673.606,52002.449
"ENSG00000170145",5888.895,5300.961,5412.384,5393.768,4493.665,4770.95,4389.128,3914.413
"ENSG00000170153",3193,3092,3589,4027,5833,6363,5901.999,5069
"ENSG00000170160",2960.058,2682.608,2434.008,3757.969,3702.156,4202.288,3363.16,3562.963
"ENSG00000170162",0,0,4,0,0,0,0,0
"ENSG00000170166",2026,1888,2066,1940,5391,5855,6660,6037
"ENSG00000170178",0,2,0,0,0,0,0,0
"ENSG00000170180",9.444,9.407,0.922,1.837,18.027,13.983,18.664,12.988
"ENSG00000170185",2510.815,2510.752,2621.632,2394.354,3126.13,3419.976,3194.647,2794.223
"ENSG00000170190",20,8,11,18,0,2,3,3
"ENSG00000170191",1777,1551,1610,1440,1621,1755,1588,1329
"ENSG00000170209",11,13,14,14,26,42,60,41
"ENSG00000170214",0,0,0,0,0,0,0,0
"ENSG00000170222",518.999,447.001,815.999,709.001,852.999,863,1057.001,904.999
"ENSG00000170231",811.998,820,843,706,424,473.001,423,383
"ENSG00000170234",1992.999,1703.001,2209,1784.002,2862,3281,3189.001,2799
"ENSG00000170236",66.135,54.429,78.374,80.167,103.068,134.425,143.717,108.436
"ENSG00000170242",2804.716,2722.468,2791.457,2710.195,3405.873,3623.776,3289.726,3056.334
"ENSG00000170248",9720.567,9063.959,10852.999,10241.454,11614,12809.929,12653.796,10889.999
"ENSG00000170255",0,0,0,0,0,0,0,0
"ENSG00000170260",1158.006,1242.999,1489,1214.008,1966.009,2240.999,2075.998,1855
"ENSG00000170262",0,0,0,1.067,0,2.192,0,0
"ENSG00000170264",1746.324,1636.836,736.498,757.038,2471.548,2875.977,1596.024,1509.836
"ENSG00000170265",3481,3136.001,4067.999,3983.999,5225.999,5579.002,5808.999,5034.001
"ENSG00000170266",3501.999,3217,2995.999,2691,4545.001,5026.385,4690,4118
"ENSG00000170270",663.064,660.359,496.333,241,1069.185,1302.964,844.019,477
"ENSG00000170271",426.905,394.402,1235.969,1153.955,1161.432,1352.789,1462.758,1144.775
"ENSG00000170275",14391.162,13647.293,16054.122,14171.658,19876.22,21386.787,19958.023,18670.799
"ENSG00000170276",2,0,2,1,0,2,17,4
"ENSG00000170279",4,0,1,2,2,5,3,2
"ENSG00000170289",1,6,4,0,3.001,9,6,7.635
"ENSG00000170290",2,0,0,0,0,0,0,2
"ENSG00000170291",1881.661,1572.372,1317.953,1068.184,2074.692,1912.31,1737.82,1725.768
"ENSG00000170293",109,84,83,77,169,169,169,144
"ENSG00000170296",9410.41,9099,9293.098,7834.998,12140,12997.998,11764.001,10290
"ENSG00000170298",0,0,0,5,0,0,0,2.411
"ENSG00000170310",1455.308,1376.196,1422.397,1346.732,1369.268,1441.544,1280.927,1331.459
"ENSG00000170312",12002,11189.998,6876.001,5742.001,10827.998,12582,8058.001,7684
"ENSG00000170315",49457.732,46757.786,44633.66,37719.591,77351.078,83146.562,66829.545,62513.093
"ENSG00000170322",2861,2798.999,3039.999,2730,4597.999,4775,4758.999,4483.999
"ENSG00000170323",28,18,36,14,34,46,40,36
"ENSG00000170324",16,22,1781.377,1738.569,17,29,997.874,818.912
"ENSG00000170325",992,885,864.001,807,1307.001,1540,1364,1065
"ENSG00000170340",1421,1412,1314,1346,1549,1864,1751,1458
"ENSG00000170345",145.002,105,579,439.001,312,429,1041.001,758
"ENSG00000170348",13249.622,12601.003,12869.981,12069.941,15541.1,16711.848,14392.983,12616.685
"ENSG00000170356",0,0,0,0,0,0,0,0
"ENSG00000170364",1733.476,1774.386,1500.876,1357.934,1932.027,2246.031,1770.975,1696.443
"ENSG00000170365",3354.269,3341.107,2891.003,2572.003,7564.032,8312.947,6924.073,6048.196
"ENSG00000170367",0,0,0,2,0,0,0,0
"ENSG00000170369",0,0,0,0,0,0,0,0
"ENSG00000170370",0,0,0,0,0,0,0,0
"ENSG00000170373",148.7,140.734,140.675,124.961,0,0,2,0
"ENSG00000170379",69.205,52.172,123.872,124.686,129.284,169.978,106.99,165.331
"ENSG00000170381",258.687,241.559,337.461,313.98,3089.734,3054.448,2527.501,2388.866
"ENSG00000170382",1471.481,1519.38,1650.169,1339.173,5311.553,5598.941,5695.375,4558.291
"ENSG00000170385",1489,1354,6295,6239,1808,1949,4876,4043
"ENSG00000170390",655,693,797,614,1345.001,1352,1321.001,1180
"ENSG00000170396",3016,2796,2838,2676,2955,3151,3230,2985
"ENSG00000170409",0,0,0,0,0,0,0,0
"ENSG00000170417",904.675,938.838,1139.76,1168.949,1540.923,1626.035,1720.556,1423.108
"ENSG00000170419",0,4,0,4,11,26,27,8
"ENSG00000170421",17657.832,17918.639,23108.164,21605.963,9516.194,9182.03,7968.119,7893.393
"ENSG00000170423",0,0,0,1,0,0,0,0
"ENSG00000170425",427,384,1495,1196,469,503,764,665
"ENSG00000170426",0,0,4,3,4,8,2,2
"ENSG00000170430",0,2,0,0,8,0,0,2
"ENSG00000170439",367,347,243,248,355,399,266,204
"ENSG00000170442",4,4,0,3.126,3.194,7,4.001,4.984
"ENSG00000170445",10692.392,9998.508,11380.308,10465.116,10220.97,10444.299,10753.631,9834.158
"ENSG00000170448",1812.135,1842.393,1824.44,1773.862,2687.999,3157.613,2985.489,2602.369
"ENSG00000170454",0,0,0,0,0,0,0,0
"ENSG00000170456",1419.002,1196.019,917.007,910.393,1846.055,1884.005,1873,1513.001
"ENSG00000170458",20,27,26,10,13,22,14,11
"ENSG00000170464",1378.798,1347.32,1716.472,1628.798,2266.535,2299.501,2445.264,2132.425
"ENSG00000170465",0,0,0,0,0,0,0,0
"ENSG00000170468",367,383,455,441,139,299,162,152
"ENSG00000170469",192.001,160.999,147,132,211.001,183,127,140
"ENSG00000170471",5676.998,5552.999,10561.001,10695.999,7259.999,7787,10982.002,9772
"ENSG00000170473",1726.304,1795.726,1729,1382.466,1639.323,1712.588,1691.282,1601.117
"ENSG00000170476",3.893,11,8,5,5,23,0,13.999
"ENSG00000170477",8,0,0,0,0,0,0,0
"ENSG00000170482",39,42,58,59,48,49,44,38
"ENSG00000170484",0,0,0,2,0,0,0,4
"ENSG00000170485",3650.319,3646.005,4819.261,4146.551,3032.638,3233.568,3375.957,3201.962
"ENSG00000170486",0,0,0,0,0,0,0,0
"ENSG00000170498",0,0,0,0,28,8,26,11
"ENSG00000170500",13036.002,11700.166,12791.455,14546.11,14633.33,15792.284,16512.553,15785.369
"ENSG00000170502",2378.912,2340.874,1939.041,1815.015,3037,3031,2958.999,2640.028
"ENSG00000170509",46.215,38.522,72.99,60.911,60.169,97.755,66.965,94.006
"ENSG00000170515",30542.557,29598.133,31176.694,26333.913,27412.991,28661.559,27375.508,25994.485
"ENSG00000170516",0,0,0,4,2,0,0,0
"ENSG00000170522",8152.322,7821.449,4259.997,4011.186,8185.305,8834.669,5764.477,5429.127
"ENSG00000170523",0,0,2,0,2,11.142,3.093,0
"ENSG00000170525",12267.999,11261,10602.001,9725,4024,4208,4805,4258.001
"ENSG00000170537",286.486,226.746,828.681,769.203,269.376,258.059,412.323,372.897
"ENSG00000170540",15448.888,14750.525,8581.459,7693.353,19533.856,23052.492,15165.435,13601.038
"ENSG00000170542",101.377,52.957,91.043,90.218,169.284,140.689,101.706,132.305
"ENSG00000170545",556.932,639.663,507.285,407.216,626.021,674.12,643.957,527.39
"ENSG00000170549",0,0,0,0,0,0,0,0
"ENSG00000170558",23590.999,22912,19965.999,19179,60284,65819.998,58575.001,54049
"ENSG00000170561",2,2,0,2,0,0,0,0
"ENSG00000170571",1852.117,2109.477,2457.752,2296,785.153,832.318,1117.521,972.7
"ENSG00000170577",22,22,2,6,57,59,46,23
"ENSG00000170579",16,13,17,18,59.001,54,85,86
"ENSG00000170581",2356.314,2077.196,5172.556,5010.609,4096.897,4740.269,5414.262,4754.397
"ENSG00000170584",3151.115,2815.244,2537.315,2361.514,4492.26,4835.7,4512.895,4144.38
"ENSG00000170604",2788,2599,2799,2346,3623,4140,3937,3428
"ENSG00000170605",0,0,0,0,0,0,0,0
"ENSG00000170606",24180,22753,21334,19481,21101.999,22684,19031,18381
"ENSG00000170608",12,4,10,6,8,0,4,6
"ENSG00000170613",0,0,0,0,0,0,0,0
"ENSG00000170615",0,0,0,0,6,10,2.038,4
"ENSG00000170619",1862.125,2132.857,2446.519,1940.538,2248.377,2487.757,2369.043,2038.904
"ENSG00000170624",13,28,6,14,46,32,14,27
"ENSG00000170627",2,2,6,14,18,25,8,8
"ENSG00000170629",137.001,91.879,64.243,55.84,82.227,61.216,58.755,57.086
"ENSG00000170631",564.163,537.001,477.003,486.171,752.998,829.156,672,601
"ENSG00000170632",1195.958,1103.936,965.311,893.811,1444.35,1385.262,1336.504,1231.322
"ENSG00000170633",3196.118,2922.725,2221.638,1972.409,3367.468,3655.111,2975.963,2719.832
"ENSG00000170634",241.466,278,734.251,629.717,306.444,274.58,414.379,322.764
"ENSG00000170638",5617.999,5062.001,5293.001,4617,4044,4623.999,4756,4340.001
"ENSG00000170653",2606.52,2417.559,2801.622,2740.999,3294,3338,3501,3236
"ENSG00000170667",1656.072,1789.454,2585.555,2569.065,5905.44,5701.909,5599.859,5453.246
"ENSG00000170677",2757,2687,1954,2014,3207,3533,3126,2508.001
"ENSG00000170681",315,273.857,166.579,115.003,564,587,379,346
"ENSG00000170684",195,208,281,254,176,171,396,353
"ENSG00000170689",0,6,0,0,2,2,2,10
"ENSG00000170703",2062,2033,1944.999,1931,4431.999,4419.002,4778,4515
"ENSG00000170734",4435.639,3897.036,16694.818,17776.791,4651.996,5162.849,13751.446,12053.74
"ENSG00000170743",722,631,489,509.001,2934,3293.001,2373.998,2048.001
"ENSG00000170745",18,17,14,0,373,336,142,152
"ENSG00000170748",6,2,4,3,8,8,6,9
"ENSG00000170759",29481,28536,24489,24676,27227,30696,23695,21686
"ENSG00000170775",226,192,502,581,413,443,900,770
"ENSG00000170776",7325.146,6719.002,7826.007,8837,10387.529,11438.03,10029.227,9274.396
"ENSG00000170777",0,0,0,0,0,0,0,0
"ENSG00000170779",5730,5636,2470,2404,4918.377,5513,2904,2772
"ENSG00000170782",0,0,0,0,0,0,0,0
"ENSG00000170786",7,0,2,0,38,24,15,20
"ENSG00000170788",0,0,0,0,0,0,0,0
"ENSG00000170790",54.423,45.047,69.033,79.932,79.831,102.511,107.413,77.342
"ENSG00000170791",799.003,821.009,859.024,800.003,588.002,766.255,600.999,583.005
"ENSG00000170801",216,178,97,44,143,141,43,74
"ENSG00000170802",2405,1921,2072,2272,2546,2816,2422,1945
"ENSG00000170807",0,0,0,2,0,4,6,4
"ENSG00000170819",0,0,0,0,0,2,0,0
"ENSG00000170820",0,0,0,0,0,0,2,0
"ENSG00000170827",0,0,179.017,145.727,54.837,0,128.275,132.194
"ENSG00000170832",9659.183,9222.197,11159.591,11586.014,9079.55,10040.184,10366.801,9051.133
"ENSG00000170835",256,166,637.983,517.273,317.163,398,514.725,525.806
"ENSG00000170836",4818.146,4328.337,17449.513,16661.629,6921.29,7571.859,21218.481,18878.862
"ENSG00000170837",159,122.192,113,80,1085.967,1099.971,1447.896,1147
"ENSG00000170846",2843.471,2836.336,2435.809,1917.933,3384.359,3690.693,3428.784,3044.73
"ENSG00000170848",6,9.002,19.081,27.428,4.998,5,3,4.997
"ENSG00000170852",3986,3503,3142.001,2883.042,4772.764,5398.999,4528,3977
"ENSG00000170854",6183.213,5818.173,5270.443,4307.278,5729.053,6426.188,5871.055,5485.963
"ENSG00000170855",2642,2569,8356,7178,2939,2958,7184,6447
"ENSG00000170860",7387.122,7373.031,4771.202,3693.25,7369.455,7786.462,4876.269,4709.931
"ENSG00000170871",3745,3462.001,4433,4514.999,4968.999,5455,5852,4935.999
"ENSG00000170873",327.483,301.068,182.614,156.747,232.847,232.517,205.586,214.553
"ENSG00000170876",4885.864,4546.16,6241.467,6062.819,7791.034,8599.443,9207.184,8401.549
"ENSG00000170889",31347.613,26505.664,39677.23,35902.286,40121.127,46641.038,42881.812,40299.466
"ENSG00000170890",0,1,0,0,2,3,4,10
"ENSG00000170891",1097,1008,1635,1270,3303,3303.001,3081,2989
"ENSG00000170892",385.07,346.351,391.892,420.469,714.452,723.866,725.211,517.594
"ENSG00000170893",0,0,0,0,4,0,2,0
"ENSG00000170899",1410,1448.999,1394,1214,3236,3452,3067,2719.999
"ENSG00000170903",5129.998,4855.999,5551.999,5811.001,5502,5907,6139,5202
"ENSG00000170906",80.997,70.238,107.093,29.376,69.381,117.83,167.067,117.534
"ENSG00000170909",4,4,7,10,3,4,9,12.988
"ENSG00000170915",530,372,195,151,945.001,966.001,582,432
"ENSG00000170917",548.216,534.411,666.49,582.351,740.488,953.955,1035.578,891.061
"ENSG00000170920",0,0,0,0,0,0,0,0
"ENSG00000170921",3015,2167.999,2690,2991.999,3327,3778.002,3401.999,3141.999
"ENSG00000170923",32.914,14.84,18.177,16.639,43.178,30.031,46.405,35.825
"ENSG00000170925",0,0,4,0,0,0,0,3
"ENSG00000170927",1,2,4,6,1,0,0,1
"ENSG00000170929",0,0,0,0,0,0,2,0
"ENSG00000170935",0,0,0,0,0,0,0,2
"ENSG00000170946",1221.73,1055.518,1374.508,1174.533,1347.623,1545.926,1515.694,1343.749
"ENSG00000170949",1547.948,1348.555,2210.066,2130.532,2401.683,2670.738,2712.743,2531.023
"ENSG00000170950",0,0,0,0,0,0,0,0
"ENSG00000170953",0,0,0,0,0,0,0,0
"ENSG00000170954",589,471,626.001,541.001,732,944.001,874.001,835.002
"ENSG00000170955",0,4,0,0,0,0,0,2
"ENSG00000170956",0,0,0,0,0,0,0,0
"ENSG00000170959",11.909,9.531,12.353,8.543,17.87,13.97,5.875,6.36
"ENSG00000170961",3134,3361,2031,1914,3330,3452,2183,2078
"ENSG00000170962",460,408,346,257,1125,1191,852,777
"ENSG00000170965",83,149,98,53,130,175.999,94,54.999
"ENSG00000170967",0,0,0,0,0,0,0,0
"ENSG00000170989",678.998,559,443.001,361.002,314,380.001,272.999,275
"ENSG00000171004",3550,3226,3530,3233,5252.001,5973,6015,5050.001
"ENSG00000171014",0,0,0,0,0,0,0,0
"ENSG00000171016",3388.051,3206.234,2950.631,3001.909,5436.993,5447.881,4919.074,4240.984
"ENSG00000171017",410.042,425.134,443,440.9,262.002,300.233,288.069,247.003
"ENSG00000171033",1706,1394,2558,2417,1853,2011,2003,1694
"ENSG00000171044",271.72,257.001,469.239,426.67,298.382,260.058,363.198,336.882
"ENSG00000171045",644.999,542.001,817.001,974.998,903,911,1234.001,1032.998
"ENSG00000171049",0,0,0,0,0,0,0,0
"ENSG00000171051",2.076,0,2.917,9.982,17.013,16,12.32,4.758
"ENSG00000171053",0,0,0,0,0,0,0,0
"ENSG00000171054",0,0,0,0,0,0,0,0
"ENSG00000171055",2588,2445.999,3420,2870.702,3540,3608.002,3681,3431.001
"ENSG00000171056",106.673,70.064,250,257.002,113.444,111.018,246.378,200.276
"ENSG00000171060",0,0,0,0,0,0,0,0
"ENSG00000171067",3029,2690,3523.002,3087,3050.999,3301.998,2760.999,2576
"ENSG00000171084",9,12.264,34,29,8,19,36,15.998
"ENSG00000171094",3,0,182,6,6,26,14,15
"ENSG00000171097",710.365,651.544,497.609,441.251,787.446,854.973,715.093,720.206
"ENSG00000171100",394.487,416.382,469.321,501.685,439.277,476.115,476.315,454.202
"ENSG00000171101",0,0,0,0,0,0,0,0
"ENSG00000171102",0,0,5.004,0,0,0,0,6.168
"ENSG00000171103",1581.95,1469.095,1604.228,1500.713,2097.443,2264.424,2080.755,1899.054
"ENSG00000171105",1384.649,1201.404,978.284,891.636,2604.936,2773.698,2628.147,2205.943
"ENSG00000171109",8864.864,8242.088,9397.387,9316.301,10736.182,11385.399,11164.739,9931.168
"ENSG00000171115",0,2,4,4,2,0,4,0
"ENSG00000171116",40,34.32,59,31,85,63.247,68.251,62
"ENSG00000171119",12,16,5,6,20,14,2,0
"ENSG00000171121",202.131,139.447,140.394,162.244,119.139,112.714,154.34,147.001
"ENSG00000171124",0,0,0,0,0,0,0,0
"ENSG00000171126",75,39,25,34,43,77,63,37
"ENSG00000171130",3388.316,2996.1,3791.278,3099.404,4000.14,4411.798,4641.012,4360.482
"ENSG00000171132",2142,1964.999,3138,3135,2514,2817,3070.001,2369
"ENSG00000171133",0,0,0,0,0,0,8,0
"ENSG00000171135",3420,2909,3275,2694,3695,4090,3929,3516
"ENSG00000171148",5722.855,5291.008,6155.871,5251.749,7687.11,8235.313,7538.553,6792.476
"ENSG00000171150",4033.027,3643.291,5302.324,5149.8,2813.016,3073.781,3100.68,2577.471
"ENSG00000171159",1264.622,1301.983,1521.908,1205.375,2244.816,2409.504,2831.502,2358.827
"ENSG00000171160",1460.921,1328.19,1843.308,1713.059,2511.897,2567.453,2748.625,2460.521
"ENSG00000171161",3484.001,2889,4478,4281.999,4216,4625,5779.001,5084
"ENSG00000171163",4170.999,3687.001,6220.999,5889.001,4757.999,4823.999,7604,6888
"ENSG00000171169",664.249,705.891,623.482,652.895,814.287,791.987,936.593,751.435
"ENSG00000171174",68.999,78.001,124,120.999,161,153,213.001,187
"ENSG00000171180",2,0,0,4.001,2.256,1,0,2
"ENSG00000171189",17,6,18,7,3,6,11,9
"ENSG00000171195",0,0,4,4,0,0,1,2
"ENSG00000171199",0,0,0,0,0,0,0,0
"ENSG00000171201",2,2,2,0,0,6,2,2
"ENSG00000171202",1348,1272.001,1221.998,1023.001,1751,1889.001,1763.001,1692.001
"ENSG00000171204",3127.001,2902.998,2398,2102.999,3403.002,3747.001,3171.997,2951.999
"ENSG00000171206",6237.28,5996.989,13212.35,12353.982,4279.229,4541.057,5967.471,5327.998
"ENSG00000171208",18397.807,17769.207,8401.21,7568.343,18929.453,20644.768,15227.503,13879.901
"ENSG00000171209",0,0,0,0,32,33,24,26
"ENSG00000171217",52,59,86,114,33,39,26,35
"ENSG00000171219",299.88,264.418,1142.361,1144.436,399.772,428.766,835.702,769.883
"ENSG00000171222",1885.926,1857.505,2500.891,1887.91,2725.806,3003.155,3323.554,2819.915
"ENSG00000171223",4867.738,5001,5524.699,4756,6045,6164,5507.564,4673.998
"ENSG00000171224",1315,1303,1155,1080,2144.001,2221,2056,1997.999
"ENSG00000171227",17,14,5,0,28,35,20,18
"ENSG00000171234",0,0,55,6,2,0,0,2
"ENSG00000171236",7.687,7.079,2.82,8.514,10.84,7.442,8.1,14.119
"ENSG00000171241",8974.917,9073.35,3107.521,2838.29,6540.798,7229.614,3069.741,2898.419
"ENSG00000171243",111,104,80,74,163,213,135,102
"ENSG00000171246",395,387.001,368,318.001,1011,910,908.001,916
"ENSG00000171262",6379.559,6220.672,5138.287,4836.514,6821.898,7617.877,5564.983,5383.473
"ENSG00000171291",561.326,442.054,826.923,674.164,332.043,316.159,341.853,323.37
"ENSG00000171295",1304.026,1220.924,2553.938,2239.215,1502.139,1665.185,2260.206,1992.465
"ENSG00000171298",2194.208,1546.446,1953.837,3650.881,2584.389,3327.003,3836.381,3322.762
"ENSG00000171302",14079,13255.999,17748.001,16819.001,17412.001,18764.001,19649.002,17908.999
"ENSG00000171303",2,1.044,7,2,0,2.924,6,2
"ENSG00000171307",2737.001,2565,2386.001,2302,3426.998,3659,3167.999,2947
"ENSG00000171310",949,944,1110,1029,2724,2809,2671,2285
"ENSG00000171311",2319.129,2309.579,2136.581,1854.647,2459.183,2763.85,2083.775,2040.394
"ENSG00000171314",37522.09,35006.532,26520.931,22701.256,26839.487,28730.372,20409.545,18662.689
"ENSG00000171316",4985.999,5040.998,3551.998,3962,12538,14298.002,11063,9797.998
"ENSG00000171320",2587.404,2529.362,407.904,442.783,3010.942,3298.243,890.15,788.031
"ENSG00000171345",243,288.999,624,454,80,62,322,355.001
"ENSG00000171346",234.983,165.86,524.596,445.524,98.086,97.4,203.362,180.953
"ENSG00000171357",51.594,68,91,104,27,21.893,33.219,39
"ENSG00000171360",0,0,0,0,0,0,2,0
"ENSG00000171365",1906.148,1898.298,1733.676,1818.072,7364.581,7503.076,7458.041,6445.362
"ENSG00000171368",155,79,76,69.302,183,222.568,205.692,189.795
"ENSG00000171385",271.52,265.579,330.393,321.637,378.451,403.605,405.45,334.022
"ENSG00000171388",89,54,12,8,191,213,76,75
"ENSG00000171401",40,0,4,0,0,2,2,4
"ENSG00000171402",0,0,0,0,0,0,0,0
"ENSG00000171403",0,0,0,0,2,0,0,0
"ENSG00000171405",0,0,0,0,0,0,0,0
"ENSG00000171408",14.281,8.031,6,7.814,53.319,31.056,57.3,45.013
"ENSG00000171421",2089,1972,2339,1933,2100,2270,2179.001,2053
"ENSG00000171425",1480.848,1185.104,2148.849,1768.281,2296.233,2717.897,3164.06,2548.093
"ENSG00000171428",221.999,228.001,314,260.999,106.999,151.999,84.001,69.999
"ENSG00000171431",4,18.602,0,1,0,0,0,10.068
"ENSG00000171433",0,0,0,0,0,0,0,3
"ENSG00000171435",13,14,2,3,195,177,148,98
"ENSG00000171443",233.006,240.957,478.002,405,345,401,473.999,334
"ENSG00000171444",1098.054,902.001,2783.055,3151.043,3710.03,3925.091,4663.178,3983.006
"ENSG00000171446",0,0,0,0,0,0,0,0
"ENSG00000171448",2761,2507,2993,2728,3651,4032,3942,3257
"ENSG00000171450",4,4,18,11,50,52,59,49
"ENSG00000171451",2266.109,2281.475,1583.72,1838.341,1356.119,1357.786,1207.836,1221.352
"ENSG00000171453",4222.82,3861.536,4773.355,4130.548,4045.483,4516.233,4175.571,3633.686
"ENSG00000171456",8960.998,7998.001,7205,6859,11769.999,12879.001,9873,9034.997
"ENSG00000171459",0,0,0,0,0,0,0,0
"ENSG00000171462",174.554,124.976,265.22,267.04,346.013,348.844,357.68,325.773
"ENSG00000171466",3925.32,3628.715,4864.512,4386.716,3273.436,3671.079,4065.826,3924.85
"ENSG00000171467",3501.933,3305.079,2856.823,2717.511,4716.615,4909.681,4133.386,3967.365
"ENSG00000171469",3043.002,2634.684,8855.509,8836.649,3745.005,3947.452,8758.843,8164.398
"ENSG00000171475",4890.713,4339.704,6568.411,5771.745,5571.12,5975.543,5991.902,5350.282
"ENSG00000171476",108.589,103.92,117.206,66.82,176.39,200.584,222.667,151.74
"ENSG00000171478",0,0,0,0,0,0,1,0
"ENSG00000171481",0,0,0,0,0,0,0,0
"ENSG00000171483",0,1,1,0,0,0,0,0
"ENSG00000171487",0,0,0,0,0,0,0,0
"ENSG00000171488",690,711,379,294.494,589,621,377,335
"ENSG00000171489",0,2,0,0,0,0,0,0
"ENSG00000171490",18636.15,17238.299,19584.539,18024.287,18667.209,20441.37,20782.508,18718.818
"ENSG00000171492",1128,1280.999,1054,1002.2,1766,1916.999,1900.001,1651
"ENSG00000171495",0,0,0,0,0,0,0,0
"ENSG00000171496",2,0,0,0,0,0,1,0
"ENSG00000171497",6856.419,6524.033,5290.038,4573.734,7398.534,8006.937,6396.756,5741.919
"ENSG00000171501",0,0,0,0,4,0,0,0
"ENSG00000171502",225,241,97,94,155,135,96,126
"ENSG00000171503",2041.185,1966.13,1977.827,1854.047,2267.414,2334.021,2530.726,1956.543
"ENSG00000171505",2,0,0,0,0,0,0,0
"ENSG00000171509",0,0,0,0,0,0,0,5
"ENSG00000171517",250,236,168,140,754,882,747,626
"ENSG00000171522",6,24,24,32,299,392,256,205
"ENSG00000171530",10291.997,9748.001,10279.002,8185.001,10111.001,10282.999,9888.001,9198.999
"ENSG00000171532",2,1,2,2,10,2,6,12
"ENSG00000171533",55,35,52,46.999,91,82,116.999,111.001
"ENSG00000171540",0,0,45,35,0,4,18,2
"ENSG00000171551",20,18,2,2,171,183,252.999,186
"ENSG00000171552",2926.999,2852,6276,5949.003,3123,3229.999,5078.001,4467.002
"ENSG00000171557",4,0,4,0,0,0,2,0
"ENSG00000171560",0,0,0,0,0,0,0,0
"ENSG00000171561",18.263,30.466,20.79,27.375,28.388,12.984,34.165,31.727
